Time;Load cell reading [N];Temperature [C];Pressure sensor 1 [bar];Pressure sensor 2 [bar];Distance [mm];
453767;-25.333374;24.500000;0.021667;3.140834;94;

453903;-36.000000;24.500000;0.021667;3.140417;93;

454049;-48.000000;24.437500;0.021667;3.140834;93;

454200;-53.333374;24.437500;0.021667;3.140417;98;

454348;-56.000000;24.437500;0.021667;3.140417;94;

454487;-50.666626;24.437500;0.021667;3.140000;95;

454619;-36.000000;24.437500;0.021667;3.137500;94;

454756;-36.000000;24.500000;0.021667;3.136250;94;

454891;-32.000000;24.437500;0.021667;3.135417;96;

455039;-34.666626;24.500000;0.021667;3.135417;94;

455183;-17.333374;24.500000;0.021667;3.135417;95;

455316;-13.333374;24.500000;0.021667;3.135417;96;

455455;-5.333374;24.500000;0.021667;3.135417;93;

455596;0.000000;24.437500;0.021250;3.136250;95;

455733;-1.333374;24.500000;0.021667;3.135417;93;

455877;1.333374;24.437500;0.021667;3.135417;96;

456026;0.000000;24.500000;0.021667;3.135000;93;

456164;4.000000;24.437500;0.021667;3.135417;96;

456308;-1.333374;24.500000;0.021667;3.135417;96;

456454;-5.333374;24.437500;0.021667;3.135417;96;

456596;-8.000000;24.500000;0.021667;3.135417;94;

456737;-4.000000;24.500000;0.021667;3.135417;93;

456884;-13.333374;24.500000;0.021667;3.135417;95;

457026;-21.333374;24.500000;0.021667;3.135000;95;

457163;-25.333374;24.500000;0.021667;3.135417;97;

457308;-25.333374;24.500000;0.021667;3.135417;93;

457460;-30.666626;24.500000;0.021667;3.135000;97;

457589;-36.000000;24.437500;0.021667;3.135417;96;

457741;-34.666626;24.500000;0.021667;3.135417;95;

457874;-30.666626;24.500000;0.021667;3.135000;95;

458016;-36.000000;24.500000;3.135417;3.135417;95;

458157;-30.666626;24.500000;3.135000;3.135000;95;

458300;-22.666626;24.500000;0.021667;3.135417;96;

458443;-22.666626;24.500000;0.021667;3.135417;93;

458590;-16.000000;24.500000;0.021667;3.135417;94;

458737;-17.333374;24.500000;0.021667;3.135417;94;

458874;-13.333374;24.500000;0.021667;3.135417;94;

459016;-13.333374;24.500000;0.021667;3.135417;95;

